Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PA,vac,342,8,205,105,200,75,120.2,132,9.6,1.5,79.8,8.1,266,77.77777778,280.0495,161.8966995,9.551260712,0.0594,68.68084159,1,0.303030303,0.54913134,0.570582979,47.848196
88,PA,vac,230,8,0,0,120,50,108,78,6.4,1.8,12,4.6,187,81.30434783,70.26505,38.24756655,1.165984251,0.0316,67.12026342,1,0,0,0,0
89,PA,vac,257,8,260,110,210,360,22.3,96,7.7,1.6,187.7,6.1,184,71.59533074,401.5641,79.09896254,19.53304469,0.2538,9.45535783,3,0.525252525,0.628102564,0.4413226,38.80577211
90,PA,vac,204,8,260,110,220,560,7.1,114,5.2,1.3,212.9,3.9,135,66.17647059,497.8586,113.1098814,21.42253111,0.2103,6.742412356,1,0.303030303,0.664274683,0.424380401,36.02178355
91,PA,vac,293,8,240,120,215,90,126.4,150,6.8,1.2,88.6,5.6,183,62.45733788,386.2792,160.3936186,11.57976762,0.07285,22.39470691,1,0.747474747,0.749079157,0.401135374,42.01029518
92,PA,vac,227,8,75,55,120,40,110.8,60,5,1.9,9.2,3.1,185,81.49779736,78.67172,47.36583298,0.859061596,0.01845,75.61542266,1,0,0,0,0
93,PA,vac,204,8,115,65,190,50,139.3,132,6.9,1.6,50.7,5.3,154,75.49019608,298.0092,189.0555084,5.98293384,0.03175,260.5013254,1,0.434343434,0.618229527,0.393533578,41.95761408
94,PA,vac,391,8,120,90,130,100,80.2,60,7.5,1.3,49.8,6.2,310,79.28388747,77.52535,60.82590044,4.743945789,0.0786,56.48980806,1,0,0,0,0
95,PA,argon,223.4,8,180,60,185,110,71.5,114,4.5,0.5,113.5,4,177.9,0.796329454,247.1871,129.1236765,11.78190344,0.0916,52.19045103,1,0.727272727,0.793984261,0.320622415,37.76504422
96,PA,argon,257.2,8,240,120,220,275,38.47,96,6.5,1.4,181.53,5.1,155.3,0.603810264,330.8717,98.10866726,19.29256618,0.22335,10.25578669,1,0.494949495,0.722342316,0.377238284,37.40372285
97,PA,vac,297,8,240,80,184,332,60.6,132,6.7,0.8,123.4,5.9,215,72.39057239,286.5456,52.07479463,16.30153666,0.3151,21.59275046,1,0.626262626,0.580187088,0.58436177,44.75564318
98,PA,vac,354,8,200,125,200,244,68.6,114,6.8,0.8,131.4,6,281,79.37853107,322.8471,76.08184011,17.31568147,0.229,24.28100291,1,0.767676768,0.730114571,0.437877159,40.84498543
99,PA,vac,358,8,260,110,198,227,44.4,150,6.5,0.9,153.6,5.6,264,73.74301676,349.5956,97.06090198,20.3191755,0.2107,22.71438723,2,0.777777778,0.642061747,0.546828658,45.49770512
100,PA,vac,257,8,264,66,189,203,79.8,114,4.9,1.2,109.2,3.7,164,63.81322957,259.0329,77.48450526,14.39221959,0.18655,30.41561566,2,0.434343434,0.608647007,0.501244977,42.84648499
101,PA,vac,302,8,220,105,211,187,78.2,168,6.8,0.8,132.8,6,206,68.21192053,332.018,109.7418426,18.92432174,0.17385,30.37576044,2,0.828282828,0.720485768,0.461906635,42.77824138
102,PA,vac,237,8,200,100,189,332,62.7,150,4.7,0.5,126.3,4.2,172,72.57383966,331.2538,53.4612124,16.7755566,0.3165,13.92074429,1,0.848484848,0.730784567,0.47906472,43.30691587
103,PA,vac,313,8,160,95,183,190,43.2,96,6.6,0.9,139.8,5.7,235,75.0798722,269.3502,107.2120898,18.53651202,0.17415,24.83294753,1,0.737373737,0.686696846,0.465397476,40.15321456
104,PA,vac,222,8,290,130,215,178,25.1,114,3.8,0.8,189.9,3,123,55.40540541,500.5334,158.5534565,25.06667066,0.15855,16.62857134,1,0.727272727,0.666167402,0.46070826,45.32832978
105,PA,vac,233,8,240,100,195,190,35.5,168,5.1,0.9,159.5,4.2,106,45.49356223,352.6526,89.56520359,17.21837675,0.1934,21.56325071,2,0.494949495,0.567609087,0.558003286,43.45106867
106,PA,vac,269,8,225,90,194,253,58.7,132,4.5,1,135.3,3.5,116,43.12267658,346.5386,158.7493305,18.23179646,0.11555,17.01466541,2,0.828282828,0.662004882,0.498995071,41.76913936
107,PA,vac,270,8,195,65,181,277,49.8,186,4.9,0.7,131.2,4.2,188,69.62962963,274.3177,84.85849975,21.68929443,0.2566,29.67713062,6,0.808080808,0.735075489,0.462056027,45.29518596
108,PA,vac,292,8,300,115,203,164,71.2,96,7.3,0.8,131.8,6.5,178,60.95890411,353.4168,116.288323,17.09973157,0.1482,21.36351711,3,0.626262626,0.700137608,0.425723857,41.98832982
109,PA,vac,267,8,190,120,216,301,72.8,96,4.9,0.7,143.2,4.2,168,62.92134831,458.8822,66.81713846,18.63814394,0.28175,19.10754716,2,0.757575758,0.720058399,0.485655574,41.95789618
110,PA,vac,277,8,320,80,207,155,132.5,114,5.7,1.3,74.5,4.4,224,80.86642599,355.7095,73.16774678,9.97584798,0.13735,28.49026579,2,0.616161616,0.559496796,0.552659705,44.17688475
111,PA,vac,273,8,295,125,209,198,46.3,132,4.8,0.7,162.7,4.1,197,72.16117216,471.1101,119.5151269,21.5958951,0.1818,27.72643613,2,0.787878788,0.733326251,0.448719416,42.74589421
112,PA,vac,348,8,200,120,209,202,77.6,150,4.8,0.8,131.4,4,205,58.90804598,383.9865,135.5257306,23.57412172,0.1743,35.65614367,2,0.707070707,0.680550595,0.474430189,43.15055719
113,PA,vac,310,8,210,110,196,179,56.1,114,6.7,1.1,139.9,5.6,198,63.87096774,286.5456,112.5933293,18.12703919,0.1621,24.83008162,2,0.878787879,0.765000243,0.430418096,41.67635098
114,PA,vac,245,8,300,100,204,305,23.2,186,4.7,0.6,180.8,4.1,89,36.32653061,461.175,134.7390142,29.15030825,0.21805,11.26894319,4,0.707070707,0.665219813,0.49051577,43.7554946
115,PA,air,212,"8""",240,100,180,500,73.3,114,16.2,3,106.7,13.2,138,0.650943396,247.5693,39.54282475,18.79817592,0.48035,14.43591994,5,0.769230769,0.656134378,0.398971346,43.75736672
116,PA,air,321,"8""",240,100,160,220,54,114,7.6,1,106,6.6,100,0.31152648,223.1135,93.74351949,18.86062885,0.2028,33.50854326,4,0.492753623,0.601806211,0.513293612,38.07293393
117,MC,vac,302,8,200,125,217,178,6.9,114,0.3,0.2,210.1,0.1,268,0.887417219,605.2346,182.1463625,28.36858626,0.1564,18.58859069,1,0.303030303,0.483977555,0.559179807,40.42544106
118,MC,vac,268,8,260,110,205,142,50.7,132,0.2,0.2,154.3,0,154,0.574626866,633.1295,160.0328942,20.23482634,0.12685,98.50127074,3,0.353535354,0.59392871,0.52544447,37.52526142
119,MC,vac,288,8,140,95,196,168,77.8,96,0.3,0.2,118.2,0.1,225,0.78125,545.2416,106.4393176,15.69382326,0.1512,36.58293907,4,0.535353535,0.563758495,0.535672202,40.71768105
120,MC,vac,303,8,180,100,182,194,3.9,114,0.4,0.2,178.1,0.2,254,0.838283828,468.8174,136.7058171,24.20996608,0.17805,14.01990581,2,0.161616162,0.528269544,0.589443731,36.90355553
121,MC,vac,339,8,310,110,216,115,118.5,96,0.3,0.2,97.5,0.1,291,0.85840708,559.3801,138.0793836,12.80633034,0.0987,40.45516224,3,0.404040404,0.608577165,0.539161184,41.65742407
122,MC,vac,304,8,180,120,188,193,25.5,132,0.2,0.2,162.5,0,194,0.638157895,516.9646,127.4651712,22.28029213,0.1755,20.8024409,4,0.090909091,0.428924719,0.773616507,45.15499205
123,MC,vac,271,8,150,90,194,105,89.7,114,0.2,0.2,104.3,0,249,0.918819188,513.9077,157.4191369,13.81300197,0.08815,43.40834815,2,0.383838384,0.573695262,0.463201241,39.09255273
124,MC,vac,273,8,205,105,214,238,62.8,96,0.3,0.2,151.2,0.1,228,0.835164835,615.1698,102.6233365,19.98011305,0.2189,34.21894349,4,0.292929293,0.545200211,0.553887956,43.7576495
125,MC,vac,283,8,300,140,225,137,85.1,114,0.3,0.2,139.9,0.1,215,0.759717315,649.9428,153.6433625,18.22155545,0.11915,39.98794388,2,0.434343434,0.527490645,0.533435351,39.97405998
126,MC,vac,246,8,180,100,200,71,139,96,0.2,0.2,61,0,189,0.768292683,537.2171,280.9072054,7.907104264,0.02835,63.69680217,1,0.161616162,0.523839607,0.683196747,42.83500469
127,MC,vac,282,8,300,140,211,136,36.7,132,0.3,0.2,174.3,0.1,174,0.617021277,604.8525,187.983265,22.47281631,0.12025,44.33193156,2,0.484848485,0.551285973,0.564517873,35.47879641
128,MC,vac,261,8,285,125,218,179,62.1,114,0.3,0.3,155.9,0,231,0.885057471,571.608,190.7464112,20.13277067,0.1064,12.553253,2,0.454545455,0.572972389,0.52710985,39.50436688
129,MC,vac,302,8,210,105,185,298,40.8,96,0.3,0.2,144.2,0.1,271,0.897350993,463.0856,67.72805777,19.03790485,0.28295,22.80021272,2,0.383838384,0.623981441,0.511167136,39.70364894
130,MC,vac,258,8,240,80,210,212,26.8,96,0.3,0.2,183.2,0.1,185,0.717054264,601.0313,124.2798611,24.2464397,0.196,20.20365933,2,0.202020202,0.523004091,0.560378381,38.85941264
131,MC,vac,311,8,220,110,207,185,91.4,96,0.3,0.2,115.6,0.1,243,0.781350482,548.2986,91.52599471,15.20642083,0.16745,29.65917203,2,0.434343434,0.570242319,0.49954756,39.0553186
132,MC,vac,327,8,210,80,204,242,70.4,132,0.3,0.2,133.6,0.1,272,0.831804281,564.3477,79.32638338,17.6177833,0.22315,32.38140504,2,0.434343434,0.552156841,0.547679187,40.00354126
133,MC,vac,287,8,140,110,213,54,140.1,96,0.3,0.2,72.9,0.1,238,0.829268293,539.5098,307.6867954,9.214735753,0.03,88.96551261,1,0.242424242,0.53000103,0.615416512,37.83310452
134,MC,vac,281,8,150,100,182,147,6.1,114,0.4,0.2,175.9,0.2,228,0.8113879,484.8665,188.2553141,23.46538288,0.12495,25.06844876,1,0.181818182,0.528052483,0.573742848,38.11130755
135,MC,vac,303,8,175,100,189,263,35.7,96,0.2,0.2,153.3,0,253,0.834983498,533.778,82.86029109,20.34175887,0.2472,35.40925742,3,0.585858586,0.636135702,0.491864124,38.03047182
136,MC,vac,268,"8""",60,60,170,330,28.5,114,0.7,0.7,141.5,0,169.3,0.631716418,263.2362,73.5173143,22.76761944,0.3129,17.67723297,3,0.141414141,0.484662494,0.609984049,39.01552322
137,MC,air,204,"8""",180,60,180,500,30,114,0.3,,150,0.3,100,0.490196078,486.395,57.78712883,26.00664167,0.467,9.68631173,3,0.422680412,0.541775715,0.521526486,44.36424367
138,TCB,vac,329,8,25,25,206,225,152.3,150,5.3,1.3,53.7,4,214,0.650455927,67.59021,35.20716183,7.188894584,0.20695,22.48675988,4,0.252525253,0.558434418,0.479840808,47.90475617
139,TCB,vac,382,8,180,90,151,190,68.8,132,7.9,1.6,82.2,6.3,328,0.858638744,221.585,67.89254649,11.51414134,0.171,14.42262213,1,0.141414141,0.49136558,0.562989027,46.43124639
140,TCB,vac,433,8,85,85,199,68,169.7,150,7.8,1.8,29.3,6,383,0.884526559,150.1284,73.39542503,3.720483355,0.0512,18.64357792,1,0.060606061,0.493100512,0.530459915,42.60312912
141,TCB,vac,299,8,140,80,171,196,101.5,114,6.2,1.2,69.5,5,217,0.725752508,173.0556,46.4531142,8.27967902,0.17975,26.29234113,1,0.070707071,0.496584888,0.521345288,37.9125207
142,TCB,vac,286,8,40,40,214,339,131,60,6.1,2.6,83,3.5,198,0.692307692,86.31414,28.84144767,8.709710651,0.3222,13.67167995,5,0.282828283,0.511610708,0.515012943,49.19716676
143,TCB,vac,313,8,100,50,158,361,78.6,132,6.8,1,79.4,5.8,263,0.840255591,78.2896,31.02009025,10.51993061,0.34205,18.68461772,1,0.454545455,0.653520136,0.449448857,45.19109128
144,TCB,vac,378,8,210,105,229,81,164,150,7,1.3,65,5.7,297,0.785714286,377.4904,130.6382005,8.053360668,0.06235,14.84651797,1,0.323232323,0.541986057,0.520657063,44.48627898
145,TCB,vac,361,8,150,50,197,405,71.6,78,6.9,2.3,125.4,4.6,225,0.623268698,94.33868,40.44917724,15.00000888,0.38635,42.32171368,9,0.545454545,0.58888819,0.498245082,44.51991436
146,TCB,vac,301,8,270,90,213,234,132.9,78,6.2,1.3,80.1,4.9,235,0.780730897,273.5535,56.820288,9.090762592,0.2172,15.21052543,3,0.464646465,0.572499152,0.549496966,49.55360596
147,TCB,vac,415,8,225,100,194,434,68.8,132,7.8,0.9,125.2,6.9,291,0.701204819,192.9259,41.32007149,16.96749922,0.41395,21.31581949,5,0.424242424,0.463018779,0.601621801,50.66798596
148,TCB,vac,267,8,55,55,209,275,142.2,150,6.2,1.1,66.8,5.1,197,0.737827715,97.39565,35.65019021,8.976233737,0.2538,21.71999788,5,0.505050505,0.622859522,0.408321347,48.70222453
149,TCB,vac,398,8,60,60,187,265,114.2,168,8.4,1.4,72.8,7,254,0.638190955,69.50081,44.30386486,10.96917103,0.24855,52.6889269,8,0.181818182,0.486866403,0.56184424,43.93259724
150,TCB,vac,265,8,180,90,153,510,26.9,78,6.5,0.8,126.1,5.7,212,0.8,171.5271,35.33500811,14.3190678,0.45985,9.839962613,2,0.353535354,0.586744117,0.530212092,48.10902621
151,TCB,vac,419,8,210,70,198,372,59.9,96,10.2,1.3,138.1,8.9,309,0.737470167,139.0469,46.86899501,16.6122898,0.3578,20.54645907,9,0.545454545,0.645009717,0.466003592,47.3154005
152,TCB,vac,340,8,270,9,193,377,89.2,114,6.8,1,103.8,5.8,255,0.75,271.2608,36.23763836,12.42174427,0.34595,14.75759839,4,0.282828283,0.576710535,0.475690287,46.62905214
153,TCB,vac,357,8,150,50,196,357,129.4,78,6.7,1.4,66.6,5.3,293,0.820728291,94.33868,21.5136915,7.800418436,0.3865,10.25945506,2,0.474747475,0.567537024,0.497487032,47.72891346
154,TCB,vac,421,8,55,55,197,373,137.2,96,6.5,1.9,59.8,4.6,361,0.857482185,49.24839,20.37068215,7.072263418,0.3544,9.894873417,3,0.181818182,0.522424108,0.486613818,41.74337124
155,TCB,vac,270,8,55,55,208,283,87.8,150,6.8,0.9,120.2,5.9,146,0.540740741,94.7208,59.61331736,15.77308746,0.2673,40.39432856,6,0.525252525,0.563054513,0.483425944,50.07537382
156,TCB,vac,419,8,225,100,198,319,122,96,6.3,1.2,76,5.1,296,0.706443914,213.9426,45.05318238,7.9717382,0.2988,18.19252327,5,0.353535354,0.584383916,0.465419695,49.99933331
157,TCB,vac,278,8,150,50,208,287,116.4,150,4.6,0.8,91.6,3.8,176,0.633093525,155.4781,45.60349791,12.22568843,0.2683,17.91895387,7,0.414141414,0.602010167,0.453496856,45.2222556
158,TCB,vac,419,8,60,60,202,372,133,96,6.4,1.7,69,4.7,317,0.756563246,57.65506,22.58269586,7.831231688,0.35295,16.39609105,4,0.171717172,0.561216847,0.454705083,49.14699638
159,TCB,vac,238,8,225,100,209,272,116.7,150,4.8,0.9,92.3,3.9,196,0.823529412,359.5307,48.8611826,12.41262361,0.25595,14.44463231,4,0.808080808,0.690510577,0.428893756,48.75750771
160,TCB,vac,239,8,225,100,209,269,126.2,150,5.2,0.8,82.8,4.4,137,0.573221757,412.2635,61.89934361,11.69547698,0.1922,14.00274857,5,0.767676768,0.603348014,0.497366329,50.19500084
161,TCB,vac,200,8,270,90,211,270,28.4,150,3.8,0.8,182.6,3,121,0.605,432.5159,98.8576009,24.93122685,0.25385,16.25890958,4,0.808080808,0.665525884,0.446714071,48.6323211
162,TCB,vac,232,8,270,90,212,268,99.2,150,4,0.9,112.8,3.1,176,0.75862069,479.8989,59.39217942,14.62777083,0.24875,20.39441309,2,0.828282828,0.658807559,0.474358406,48.68005813
163,TCB,vac,227,8,150,50,212,267,135.3,150,6.6,1.5,76.7,5.1,161,0.709251101,130.2581,65.99960776,16.38345318,0.25195,122.9259943,9,0.474747475,0.684313036,0.419453892,45.66516964
164,TCB,vac,231,8,225,199,209,273,109.5,150,4.7,0.8,99.5,3.9,179,0.774891775,539.8919,167.4945204,24.53748441,0.1479,10.59415483,1,0.646464646,0.624285479,0.602525476,46.58406158
165,TCB,vac,284,"8""",210,70,200,160,138.9,96,6.1,2.34,61.1,3.76,161.7,0.569366197,377.8726,77.18156562,10.76253013,0.14075,17.76385092,2,0.652173913,0.639832801,0.455545155,44.7646929
166,TCB,vac,320,"8""",240,120,220,700,26.5,132,7.8,30,193.5,-22.2,109.9,0.3434375,584.9822,159.7911657,33.04437189,0.21485,9.778785028,2,0.692307692,0.636178956,0.482232802,41.47087493
167,TCB,vac,276,"8""",240,80,175,340,78.6,150,10.7,2.3,96.4,8.4,208.6,0.755797101,237.6341,53.54996588,16.88104196,0.31845,17.80966724,1,0.631578947,0.537182158,0.584563785,48.20269956
168,TCB,vac,376,"8""",225,100,185,460,133.6,114,12.3,1000,51.4,-987.7,59.5,0.158244681,213.9426,146.711901,8.149079917,0.05605,103.0204627,1,0.106666667,0.558581583,0.38411378,41.06684781
169,TCB,vac,265,"8""",60,60,180,110,132.3,78,5.41,5.3,47.7,0.11,183.7,0.693207547,185.2835,91.73804607,8.310964181,0.0912,35.27585894,2,0.484848485,0.548523135,0.515221852,45.70793899
170,TCB,vac,360,"8""",150,60,175,220,112,78,11.2,0.6,63,10.6,287.5,0.798611111,104.2738,53.62768869,10.95300034,0.20595,20.56518301,2,0.534883721,0.668323027,0.394274473,41.92243993
171,TCB,vac,321,"8""",210,70,160,430,56,96,9,1.5,104,7.5,260,0.809968847,216.9996,44.05341645,18.03051274,0.41365,20.94745585,3,0.636363636,0.631813861,0.721581271,32.19309086
172,TCB,vac,345,"8""",200,100,150,530,32,132,14.9,2.5,118,12.4,276.2,0.80057971,142.4859,42.2367833,20.532978,0.5036,9.830294954,1,0.5,0.542554335,0.633723825,43.68470542
173,TCB,air,275,"8""",200,100,170,390,33,60,13.5,11.7,137,1.8,157,0.570909091,237.6341,66.08973691,24.09896935,0.3682,15.93017189,3,0.471910112,0.562038261,0.547242353,47.41518358
174,TCB,air,294,"8""",210,90,180,70,129,60,7.9,1,51,6.9,235,0.799319728,263.2362,156.7744221,8.849149835,0.0566,90.03049082,1,0.270588235,0.481164502,0.6129999,52.49854016