Mass,Pretreatment,Voltage,PulseTime,Cap,Graphene_Yield,Estimated,EstimatedUpper,PreTreatVolt,PreTreatPeak
329,Fifteen,206,225,5,0.252525253,,,25,25
382,One,151,190,4,0.131313131,,,180,90
433,Two,199,68,5,0.060606061,,,85,85
299,Three,171,196,3,0.060606061,,,140,80
286,Four,214,339,0,0.282828283,,,40,40
313,Five,158,361,4,0.464646465,,,100,50
378,Six,229,81,5,0.313131313,,,210,105
361,Seven,197,405,1,0.515151515,,,150,50
301,Eight,213,234,1,0.464646465,,,270,90
415,Nine,194,434,4,0.404040404,,,225,100
267,Ten,209,275,5,0.505050505,,,55,55
398,Eleven,187,265,6,0.161616162,,,60,60
346,Twelve,230,423,3,0.272727273,,,105,75
265,Thirteen,153,510,1,0.343434343,,,180,90
419,Fourteen,198,372,2,0.535353535,,,210,70
340,Eight,193,377,3,0.27272727,0.438,0.5568,270,90
426,Fourteen,198,372,2,0.2,0.4288111,0.5482069,180,90
357,Seven,196,404,1,0.47474747,0.421,0.5168,150,50
421,Ten,197,373,2,0.16161616,0.386,0.527,55,55
270,Ten,208,283,5,0.52525253,0.374,0.507,55,55
419,Nine,198,319,2,0.35353535,0.378,0.527,225,100
278,Seven,208,287,5,0.41414141,0.445,0.5377,150,50
419,Eleven,202,372,2,0.17171717,0.375,0.502,60,60
238,Nine,209,272,5,0.88888889,0.449,0.5269,225,100
239,Nine,209,269,5,0.76530612,0.635,0.865,225,100
200,Eight,211,270,5,0.82653061,0.695,0.84,270,90
232,Eight,212,268,5,0.82828283,0.699,0.827,270,90
227,Seven,212,267,5,0.45918367,0.686,0.839,150,50
231,Nine,209,273,5,0.64948454,0.741,0.846,225,100
218,Eight,212,268,6,0.74489796,0.661,0.791,270,90
249,Seven,210,272,5,0.444,0.7508658,0.8337088,150,50
242,Nine,209,272,5,0.92929,0.7285,0.8285,225,100
245,Nine,209,407,5,0.858,0.665,0.803,225,100
247,Nine,210,415,5,0.646,0.7225,0.8405,225,100
246,Nine,209,353,5,0.828,0.7477,0.8331,225,100
233,Nine,206,251,5,0.899,0.6533,0.7817,225,100
233,Nine,205,243,5,0.89,0.725,0.9063,225,100
250,Eight,206,245,5,0.8586,0.6219,0.7768,270,90
257,Eight,204,242,5,0.636,0.70513,0.89143,270,90
250,Nine,206,229,5,0.818181,0.633,0.7617,225,100
304,Fifteen,206,223,5,0.64,0.35,0.51,25,25
236,Nine,207,223,5,0.845,0.7665,0.8795,225,100
234,Nine,213,212,5,0.75758,0.7253,0.8211,225,100
242,Nine,203,256,5,0.8687,0.7318,0.81767,225,100
233,Nine,203,256,5,0.7273,0.7523,0.8441,225,100