Mass,PreTreatVolt,PreTreatPeak,Voltage,PulseTime,Cap,Graphene_Yield
329,25,25,206,225,5,0.252525253
382,180,90,151,190,4,0.131313131
433,85,85,199,68,5,0.060606061
299,140,80,171,196,3,0.060606061
286,40,40,214,339,0,0.282828283
313,100,50,158,361,4,0.464646465
378,210,105,229,81,5,0.313131313
361,150,50,197,405,1,0.515151515
301,270,90,213,234,1,0.464646465
415,225,100,194,434,4,0.404040404
267,55,55,209,275,5,0.505050505
398,60,60,187,265,6,0.161616162
346,105,75,230,423,3,0.272727273
265,180,90,153,510,1,0.343434343
419,210,70,198,372,2,0.535353535
340,270,90,193,377,3,0.27272727
426,180,90,198,372,2,0.2
357,150,50,196,404,1,0.47474747
421,55,55,197,373,2,0.16161616
270,55,55,208,283,5,0.52525253
419,225,100,198,319,2,0.35353535
278,150,50,208,287,5,0.41414141
419,60,60,202,372,2,0.17171717
238,225,100,209,272,5,0.88888889
239,225,100,209,269,5,0.76530612
200,270,90,211,270,5,0.82653061
232,270,90,212,268,5,0.82828283
227,150,50,212,267,5,0.45918367
231,225,100,209,273,5,0.64948454
218,270,90,212,268,6,0.74489796
249,150,50,210,272,5,0.444
242,225,100,209,272,5,0.92929
245,225,100,209,407,5,0.858
247,225,100,210,415,5,0.646
246,225,100,209,353,5,0.828
233,225,100,206,251,5,0.899
233,225,100,205,243,5,0.89
250,270,90,206,245,5,0.8586
257,270,90,204,242,5,0.636
250,225,100,206,229,5,0.818181
304,25,25,206,223,5,0.64
236,225,100,207,223,5,0.845
234,225,100,213,212,5,0.75758
242,225,100,203,256,5,0.8687
233,225,100,203,256,5,0.7273